Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
60,Connecticut NCAA,33,23,10,.697,17.83,8.47,,14,6,,14,2,,7,4,,2554,2245,,64.5,118.2,.306,.426,.591,54.9,64.0,8.1,17.9,.555,14.6,35.6,.242
61,Coppin State,30,6,24,.200,-20.99,-5.44,,4,10,,5,6,,1,17,,1867,2292,,69.2,89.5,.363,.321,.484,45.2,51.5,11.7,5.6,.444,18.8,26.6,.247
62,Cornell,29,18,11,.621,1.13,-3.54,,9,5,,9,5,,8,5,,2467,2248,,72.2,117.8,.277,.489,.616,50.7,62.5,8.7,8.5,.592,14.8,27.5,.209
63,Creighton NCAA,34,24,10,.706,16.35,10.64,,15,5,,15,2,,6,5,,2558,2364,,67.6,110.5,.285,.490,.583,52.4,63.4,5.4,10.7,.558,16.0,26.9,.209
64,Dartmouth,28,14,14,.500,-4.48,-5.17,,8,6,,9,4,,5,9,,2166,2013,,71.9,107.1,.304,.471,.553,51.0,59.0,7.1,7.8,.520,14.1,24.7,.226
65,Davidson,33,17,16,.515,1.53,0.97,,6,12,,11,6,,4,7,,2393,2334,,66.6,109.0,.290,.416,.556,49.5,57.2,8.6,7.4,.525,12.9,24.6,.216
66,Dayton,32,22,10,.688,9.27,4.66,,12,6,,16,2,,5,4,,2406,2242,,66.1,112.1,.381,.404,.567,51.0,59.5,10.6,10.6,.528,13.6,29.8,.284
67,Delaware,36,16,20,.444,-5.87,-3.90,,5,13,,8,7,,3,11,,2780,2803,,70.4,109.7,.300,.408,.585,46.8,51.6,9.1,7.4,.551,15.2,23.0,.235
68,Delaware State,30,16,14,.533,-12.00,-8.80,,8,6,,11,2,,3,11,,2360,2229,,71.8,108.7,.339,.222,.538,52.4,48.1,11.9,7.5,.502,14.7,36.2,.245
69,Denver,32,11,21,.344,-10.05,-2.67,,5,11,,8,6,,3,12,,2316,2483,,68.7,103.7,.329,.367,.549,47.5,44.8,9.8,7.6,.513,16.1,26.3,.243
70,DePaul,33,14,19,.424,5.98,7.40,,4,16,,11,8,,2,10,,2402,2449,,67.5,105.4,.274,.464,.552,49.7,60.2,8.9,9.4,.527,15.8,27.2,.194
71,Detroit Mercy,32,8,24,.250,-13.43,-3.08,,4,16,,6,7,,2,15,,2146,2428,,67.7,97.6,.290,.288,.497,51.2,44.4,8.4,8.0,.459,16.2,32.5,.213
72,Drake NCAA,33,30,3,.909,9.03,0.06,,17,3,,14,2,,10,1,,2313,1928,,60.0,114.6,.426,.372,.580,55.3,55.1,14.8,8.5,.547,15.6,36.2,.300
73,Drexel,33,18,15,.545,-3.36,-5.33,,9,9,,8,6,,7,7,,2322,2207,,64.2,107.6,.247,.372,.547,52.9,49.4,7.5,12.0,.525,15.9,33.5,.173
74,Duke NCAA,34,31,3,.912,30.31,9.51,,19,1,,17,0,,10,1,,2812,2105,,66.6,124.2,.321,.454,.607,55.8,58.1,10.4,10.6,.574,12.3,35.2,.252
75,Duquesne,32,13,19,.406,1.80,1.51,,8,10,,9,7,,2,8,,2212,2155,,65.4,104.8,.296,.428,.528,50.6,55.6,10.8,12.6,.505,15.6,33.3,.193
76,East Carolina,33,19,14,.576,-0.42,-0.55,,10,8,,12,6,,4,6,,2502,2434,,68.0,109.4,.360,.349,.530,51.7,49.8,10.9,11.8,.491,13.2,34.9,.259
77,East Tennessee State,32,19,13,.594,-0.93,-5.06,,12,6,,13,3,,6,9,,2301,2128,,66.1,108.7,.322,.414,.531,52.7,50.9,12.1,11.6,.506,13.8,35.2,.213
78,East Texas A&M,31,5,26,.161,-12.39,-1.88,,3,17,,4,10,,1,16,,1995,2321,,67.8,94.5,.280,.483,.514,45.4,61.6,12.3,10.7,.492,19.7,28.1,.180
79,Eastern Illinois,31,12,19,.387,-12.43,-5.72,,8,12,,7,7,,4,12,,2062,2140,,67.9,97.2,.338,.289,.493,49.3,47.2,13.1,9.1,.458,15.6,30.9,.229
80,Eastern Kentucky,32,18,14,.563,-3.36,-3.96,,12,6,,10,3,,7,9,,2491,2408,,68.7,111.5,.269,.425,.531,49.7,47.2,12.4,9.3,.498,11.8,34.1,.201
81,Eastern Michigan,32,16,16,.500,-9.13,-5.30,,9,9,,9,5,,6,10,,2355,2449,,68.3,106.8,.336,.381,.561,49.2,48.0,10.1,9.8,.526,16.5,30.1,.247
82,Eastern Washington,32,10,22,.313,-8.43,-1.70,,6,12,,8,6,,2,14,,2283,2415,,68.4,104.3,.309,.371,.555,47.3,53.4,11.0,9.0,.517,16.3,27.0,.241
83,Elon,32,17,15,.531,-3.68,-4.48,,8,10,,10,4,,6,9,,2355,2232,,66.2,110.8,.383,.425,.553,54.8,49.1,7.9,11.5,.510,15.8,37.8,.286
84,Evansville,32,11,21,.344,-6.03,0.33,,8,12,,7,9,,4,11,,2113,2263,,67.1,98.4,.304,.409,.525,47.8,53.0,8.9,13.8,.495,15.8,22.8,.212
85,Fairfield,32,12,20,.375,-14.23,-7.40,,8,12,,8,6,,3,12,,2161,2324,,66.7,100.9,.260,.379,.500,47.5,51.5,10.2,8.4,.467,13.3,29.2,.189
86,FDU,33,13,20,.394,-11.74,-7.84,,8,8,,9,5,,4,15,,2431,2415,,69.2,104.9,.331,.421,.540,47.7,52.9,9.9,7.1,.507,14.7,27.2,.235
87,Florida NCAA,34,30,4,.882,27.98,11.81,,14,4,,15,1,,7,3,,2904,2354,,70.8,120.6,.326,.436,.578,55.4,52.4,10.9,12.3,.550,12.6,38.1,.234
88,Florida A&M,31,14,17,.452,-13.14,-5.79,,10,8,,9,3,,4,13,,2235,2334,,69.3,104.1,.359,.469,.555,49.3,51.7,7.5,8.6,.521,17.4,28.6,.256
89,Florida Atlantic,33,18,15,.545,4.08,2.05,,10,8,,8,5,,6,7,,2598,2483,,69.8,111.5,.328,.408,.561,50.7,57.2,8.9,11.1,.534,14.0,31.2,.229
90,Florida Gulf Coast,32,18,14,.563,-2.03,-4.32,,13,5,,11,5,,7,9,,2321,2233,,65.6,110.6,.231,.386,.558,52.5,51.2,8.5,7.3,.540,14.0,30.2,.159
91,Florida International,33,10,23,.303,-6.42,-1.36,,3,15,,7,8,,1,13,,2285,2380,,69.6,98.0,.348,.303,.508,50.3,49.1,12.7,13.6,.468,16.7,31.6,.246
92,Florida State,32,17,15,.531,8.80,6.80,,8,12,,11,5,,2,9,,2383,2319,,70.2,105.6,.394,.337,.546,49.4,50.0,10.8,14.1,.507,15.3,29.7,.282
93,Fordham,33,12,21,.364,-3.86,1.17,,3,15,,8,8,,2,10,,2452,2573,,70.5,104.2,.333,.416,.527,50.0,53.2,10.6,8.7,.491,15.7,31.9,.239
94,Fresno State,32,6,26,.188,-5.25,4.76,,2,18,,5,9,,1,14,,2262,2582,,70.7,97.3,.364,.353,.500,45.9,44.0,10.4,8.7,.461,15.4,27.0,.252
95,Furman,34,25,9,.735,0.05,-3.53,,11,7,,13,3,,9,5,,2638,2368,,67.3,114.0,.344,.511,.576,51.5,64.4,9.7,9.3,.551,14.2,30.8,.237
96,Gardner-Webb,31,11,20,.355,-7.98,-3.63,,5,11,,5,6,,3,13,,2287,2422,,70.2,105.1,.362,.331,.550,52.0,39.4,7.4,8.8,.519,17.9,33.4,.251
97,George Mason,34,26,8,.765,7.71,1.22,,15,3,,17,1,,7,6,,2411,2152,,65.2,106.5,.413,.364,.558,53.3,52.2,11.2,11.0,.519,17.0,32.3,.296
98,George Washington,33,21,12,.636,3.05,-1.70,,9,9,,13,4,,5,6,,2430,2238,,67.3,108.2,.402,.416,.549,50.3,55.8,13.1,8.7,.513,15.5,32.3,.281
99,Georgetown,32,17,15,.531,8.70,5.86,,8,12,,14,5,,3,9,,2293,2202,,68.3,105.0,.258,.374,.530,50.9,53.4,11.6,11.1,.504,14.7,31.6,.182
100,Georgia NCAA,32,20,12,.625,17.23,10.98,,8,10,,15,3,,3,7,,2418,2218,,68.5,110.3,.398,.368,.562,53.0,47.6,11.3,14.7,.525,16.1,36.1,.286
101,Georgia Southern,33,17,16,.515,-7.39,-5.33,,8,10,,11,3,,4,11,,2449,2505,,70.0,104.4,.267,.442,.527,49.5,50.7,11.1,10.6,.506,16.0,33.0,.175
102,Georgia State,33,14,19,.424,-7.37,-2.87,,8,10,,9,6,,3,11,,2479,2583,,69.8,107.3,.328,.338,.537,51.4,44.7,7.5,7.8,.508,14.5,33.2,.225
103,Georgia Tech,33,17,16,.515,7.30,6.36,,10,10,,14,5,,2,9,,2421,2390,,69.0,104.7,.312,.362,.532,51.3,55.4,8.3,10.2,.504,15.0,30.5,.214
104,Gonzaga NCAA,33,25,8,.758,23.62,6.62,,14,4,,13,2,,8,2,,2859,2298,,70.5,121.5,.309,.335,.594,54.0,61.9,10.7,8.3,.557,11.4,32.7,.247
105,Grambling,34,12,22,.353,-12.32,-7.45,,7,11,,6,7,,4,12,,2271,2301,,67.0,99.0,.333,.348,.526,49.2,48.4,9.9,9.8,.488,16.7,26.7,.243
106,Grand Canyon NCAA,33,26,7,.788,5.81,-3.04,,13,3,,16,1,,5,4,,2612,2281,,72.7,108.4,.442,.339,.559,52.8,52.2,12.9,13.1,.514,15.7,32.7,.324
107,Green Bay,32,4,28,.125,-13.23,-2.55,,2,18,,3,11,,1,17,,2237,2570,,69.0,100.9,.367,.459,.555,44.7,60.2,7.1,5.5,.508,16.6,19.1,.288
108,Hampton,33,17,16,.515,-4.93,-3.73,,8,10,,10,4,,4,9,,2391,2309,,67.0,107.8,.300,.369,.520,52.5,45.7,11.2,9.1,.487,13.4,35.3,.214
109,Harvard,27,12,15,.444,-7.57,-3.61,,7,7,,7,5,,5,10,,1848,1945,,66.7,102.1,.249,.399,.539,47.4,54.3,11.0,7.7,.508,15.8,25.1,.191
110,Hawaii,31,15,16,.484,-3.13,-0.58,,7,13,,13,7,,2,9,,2173,2208,,66.7,104.2,.392,.382,.552,54.2,49.4,5.3,6.0,.511,17.5,31.3,.290
111,High Point NCAA,34,29,5,.853,5.39,-5.80,,14,2,,16,1,,7,3,,2795,2338,,67.3,121.7,.372,.389,.601,54.3,45.1,9.1,7.9,.565,13.2,35.5,.284
112,Hofstra,33,15,18,.455,-4.73,-3.63,,6,12,,6,7,,5,9,,2202,2141,,64.9,101.2,.256,.431,.527,49.9,56.3,9.0,11.9,.500,15.1,25.7,.183
113,Holy Cross,32,13,19,.406,-12.27,-7.10,,5,13,,7,6,,4,13,,2227,2307,,66.2,104.3,.220,.417,.558,49.2,48.3,6.9,7.8,.537,16.1,23.4,.159
114,Houston NCAA,34,30,4,.882,28.44,12.70,,19,1,,16,1,,10,0,,2523,1988,,62.4,116.7,.282,.345,.557,53.4,44.4,12.5,15.8,.527,12.2,36.1,.209
115,Houston Christian,32,12,20,.375,-8.19,-2.99,,9,11,,8,7,,4,12,,2111,2220,,65.3,101.0,.312,.439,.524,46.9,46.9,12.1,9.4,.495,15.7,26.7,.214
116,Howard,32,12,20,.375,-11.77,-6.63,,7,7,,8,6,,3,11,,2480,2538,,71.5,107.5,.367,.399,.575,49.9,59.4,7.8,7.7,.539,18.1,30.1,.272
117,Idaho,33,14,19,.424,-7.60,-3.08,,8,10,,8,6,,5,11,,2430,2493,,67.1,109.3,.339,.473,.559,49.6,49.2,8.7,8.1,.522,15.2,29.9,.254
118,Idaho State,30,15,15,.500,-3.62,-3.69,,10,8,,10,4,,5,10,,2230,2099,,66.7,110.9,.336,.376,.532,56.4,51.1,9.0,12.9,.492,13.3,39.7,.249
119,Illinois NCAA,33,21,12,.636,21.70,12.49,,12,8,,13,4,,5,5,,2766,2462,,72.4,115.0,.346,.469,.562,55.8,51.9,6.0,9.1,.523,13.4,36.0,.263
120,Illinois State,33,19,14,.576,1.85,-0.12,,10,10,,12,4,,5,7,,2492,2374,,66.1,113.7,.299,.480,.595,50.7,54.7,8.6,5.4,.568,14.1,24.9,.224
121,Illinois-Chicago,31,17,14,.548,-0.59,0.62,,10,10,,9,5,,7,6,,2357,2286,,69.1,108.2,.339,.392,.556,51.8,57.3,9.6,8.2,.523,15.0,30.5,.244
122,Incarnate Word,33,17,16,.515,-6.47,-5.44,,9,11,,11,5,,4,10,,2407,2274,,65.1,111.2,.278,.362,.554,52.7,46.1,10.4,10.3,.533,15.1,35.8,.189
123,Indiana,32,19,13,.594,14.59,11.97,,10,10,,14,4,,4,6,,2389,2305,,69.1,107.7,.331,.332,.543,51.9,58.4,8.4,9.2,.511,14.4,31.5,.233
124,Indiana State,32,14,18,.438,-3.13,-0.63,,8,12,,8,6,,4,9,,2563,2545,,72.4,109.4,.344,.494,.585,50.6,57.2,9.3,5.9,.551,17.0,26.7,.258
125,Iona,34,17,17,.500,-8.30,-7.51,,12,8,,7,7,,7,7,,2369,2396,,68.6,100.9,.279,.347,.504,53.1,56.4,13.9,9.4,.475,17.3,39.1,.191
126,Iowa,33,17,16,.515,12.88,10.10,,7,13,,12,6,,2,8,,2722,2630,,71.4,115.1,.260,.410,.587,46.4,59.8,9.3,11.0,.568,12.2,25.1,.183
127,Iowa State NCAA,33,24,9,.727,23.04,10.73,,13,7,,15,2,,6,5,,2652,2246,,69.5,114.0,.385,.369,.585,52.7,53.9,13.3,10.2,.546,14.8,32.2,.291
128,IU Indy,32,10,22,.313,-11.51,-4.23,,6,14,,6,8,,4,12,,2402,2458,,66.8,112.0,.337,.469,.553,49.4,54.3,9.3,6.1,.516,13.1,31.9,.250
129,Jackson State,34,16,18,.471,-9.15,-6.00,,14,4,,8,1,,6,15,,2428,2535,,70.1,100.4,.375,.337,.521,50.1,49.7,10.0,9.6,.477,16.8,30.1,.274
130,Jacksonville,32,19,13,.594,-3.24,-3.27,,12,6,,11,3,,7,9,,2308,2273,,68.7,104.6,.289,.339,.527,52.3,51.6,11.3,12.7,.501,16.1,35.5,.197
131,Jacksonville State,34,22,12,.647,1.39,0.04,,12,6,,12,2,,7,7,,2511,2334,,65.9,111.2,.317,.370,.548,53.8,44.1,7.4,10.4,.510,12.9,31.7,.241
132,James Madison,32,20,12,.625,-1.62,-2.58,,13,5,,13,2,,5,8,,2365,2256,,65.9,111.2,.306,.443,.551,51.4,45.3,9.1,8.5,.516,13.6,32.1,.231
133,Kansas NCAA,33,21,12,.636,20.70,13.77,,11,9,,14,3,,4,8,,2515,2286,,69.1,109.0,.243,.343,.554,52.6,60.9,8.9,13.1,.531,14.5,30.4,.173
134,Kansas City,33,13,20,.394,-5.33,-2.71,,4,12,,9,5,,2,12,,2386,2218,,66.3,109.1,.321,.445,.545,53.4,49.9,11.2,10.1,.506,15.3,35.6,.244
135,Kansas State,33,16,17,.485,11.29,10.08,,9,11,,10,6,,3,9,,2337,2297,,67.9,103.9,.276,.402,.532,48.8,59.0,10.8,9.2,.506,15.4,29.4,.191
136,Kennesaw State,33,19,14,.576,0.77,1.10,,10,8,,12,3,,5,8,,2526,2417,,71.6,106.1,.368,.458,.539,54.2,51.2,9.2,11.6,.501,16.1,34.4,.265
137,Kent State,33,22,11,.667,0.88,-3.25,,11,7,,11,4,,8,5,,2433,2256,,67.7,108.6,.299,.379,.532,53.4,47.5,11.2,10.2,.496,14.4,36.3,.224
138,Kentucky NCAA,33,22,11,.667,21.61,14.18,,10,8,,15,3,,4,6,,2815,2570,,72.7,117.0,.359,.417,.592,52.4,56.7,9.3,11.3,.560,13.3,28.7,.265
139,La Salle,33,14,19,.424,-3.05,1.60,,5,13,,10,5,,2,10,,2376,2465,,69.6,103.1,.307,.335,.507,50.0,45.9,10.3,10.1,.469,13.1,31.0,.223
